iata_code:string,name:string,city:string,state:string,:LABEL
OKC,Will Rogers World Airport,Oklahoma City,OK,Airport
OMA,Eppley Airfield,Omaha,NE,Airport
OME,Nome Airport,Nome,AK,Airport
ONT,Ontario International Airport,Ontario,CA,Airport
ORD,Chicago O'Hare International Airport,Chicago,IL,Airport
ORF,Norfolk International Airport,Norfolk,VA,Airport
ORH,Worcester Regional Airport,Worcester,MA,Airport
OTH,Southwest Oregon Regional Airport (North Bend Municipal),North Bend,OR,Airport
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,Airport
PAH,Barkley Regional Airport,Paducah,KY,Airport
PBG,Plattsburgh International Airport,Plattsburgh,NY,Airport
PBI,Palm Beach International Airport,West Palm Beach,FL,Airport
PDX,Portland International Airport,Portland,OR,Airport
PHF,Newport News/Williamsburg International Airport,Newport News,VA,Airport
PHL,Philadelphia International Airport,Philadelphia,PA,Airport
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,Airport
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,Airport
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,Airport
PIH,Pocatello Regional Airport,Pocatello,ID,Airport
PIT,Pittsburgh International Airport,Pittsburgh,PA,Airport
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,Airport
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,Airport
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,Airport
PSC,Tri-Cities Airport,Pasco,WA,Airport
PSE,Mercedita Airport,Ponce,PR,Airport
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,Airport
PSP,Palm Springs International Airport,Palm Springs,CA,Airport
PUB,Pueblo Memorial Airport,Pueblo,CO,Airport
PVD,Theodore Francis Green State Airport,Providence,RI,Airport
PWM,Portland International Jetport,Portland,ME,Airport
RAP,Rapid City Regional Airport,Rapid City,SD,Airport
RDD,Redding Municipal Airport,Redding,CA,Airport
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,Airport
RDU,Raleigh-Durham International Airport,Raleigh,NC,Airport
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,Airport
RIC,Richmond International Airport,Richmond,VA,Airport
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,Airport
RNO,Reno/Tahoe International Airport,Reno,NV,Airport
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,Airport
ROC,Greater Rochester International Airport,Rochester,NY,Airport
ROW,Roswell International Air Center,Roswell,NM,Airport
RST,Rochester International Airport,Rochester,MN,Airport
RSW,Southwest Florida International Airport,Ft. Myers,FL,Airport
SAF,Santa Fe Municipal Airport,Santa Fe,NM,Airport
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,Airport
SAT,San Antonio International Airport,San Antonio,TX,Airport
SAV,Savannah/Hilton Head International Airport,Savannah,GA,Airport
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,Airport
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,Airport
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,Airport
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,Airport
SCE,University Park Airport,State College,PA,Airport
SDF,Louisville International Airport (Standiford Field),Louisville,KY,Airport
